# y+ ()       
# Time        	patch         	min           	max           	average       
21500         	bottomWall	2.926332e-02	2.926332e-02	2.926332e-02
21500         	topWall	2.926332e-02	2.926332e-02	2.926332e-02
22000         	bottomWall	2.930433e-02	2.930433e-02	2.930433e-02
22000         	topWall	2.930433e-02	2.930433e-02	2.930433e-02
22500         	bottomWall	2.934569e-02	2.934569e-02	2.934569e-02
22500         	topWall	2.934568e-02	2.934568e-02	2.934568e-02
23000         	bottomWall	2.938683e-02	2.938683e-02	2.938683e-02
23000         	topWall	2.938682e-02	2.938682e-02	2.938682e-02
23500         	bottomWall	2.942731e-02	2.942731e-02	2.942731e-02
23500         	topWall	2.942730e-02	2.942730e-02	2.942730e-02
24000         	bottomWall	2.946676e-02	2.946676e-02	2.946676e-02
24000         	topWall	2.946675e-02	2.946675e-02	2.946675e-02
24500         	bottomWall	2.950488e-02	2.950488e-02	2.950488e-02
24500         	topWall	2.950487e-02	2.950487e-02	2.950487e-02
25000         	bottomWall	2.954145e-02	2.954145e-02	2.954145e-02
25000         	topWall	2.954144e-02	2.954144e-02	2.954144e-02
25500         	bottomWall	2.957629e-02	2.957629e-02	2.957629e-02
25500         	topWall	2.957628e-02	2.957628e-02	2.957628e-02
26000         	bottomWall	2.960927e-02	2.960927e-02	2.960927e-02
26000         	topWall	2.960926e-02	2.960926e-02	2.960926e-02
26500         	bottomWall	2.964031e-02	2.964031e-02	2.964031e-02
26500         	topWall	2.964030e-02	2.964030e-02	2.964030e-02
27000         	bottomWall	2.966935e-02	2.966935e-02	2.966935e-02
27000         	topWall	2.966935e-02	2.966935e-02	2.966935e-02
27500         	bottomWall	2.969639e-02	2.969639e-02	2.969639e-02
27500         	topWall	2.969638e-02	2.969638e-02	2.969638e-02
28000         	bottomWall	2.972141e-02	2.972141e-02	2.972141e-02
28000         	topWall	2.972140e-02	2.972140e-02	2.972140e-02
28500         	bottomWall	2.974442e-02	2.974442e-02	2.974442e-02
28500         	topWall	2.974442e-02	2.974442e-02	2.974442e-02
29000         	bottomWall	2.976548e-02	2.976548e-02	2.976548e-02
29000         	topWall	2.976547e-02	2.976547e-02	2.976547e-02
29500         	bottomWall	2.978465e-02	2.978465e-02	2.978465e-02
29500         	topWall	2.978464e-02	2.978464e-02	2.978464e-02
30000         	bottomWall	2.980204e-02	2.980204e-02	2.980204e-02
30000         	topWall	2.980203e-02	2.980203e-02	2.980203e-02
